,case_name,cl_cited_by,cl_id,usCite,usCite_cited_by
35,"New York City v. New York, NH & HR Co.","set(['515820', '326361', '108624', '763069', '778114', '1188543', '550126', '1842394', '458735', '818347', '2195497', '1291736', '2195436', '326352', '109023', '784505', '1189844', '2557', '769789', '537691', '6561', '529297', '434666', '1879315', '499748', '2202869', '743621', '1846690', '710033', '1545212', '457705', '1523653', '1540679', '261909', '279336', '1850104', '15887', '118463', '1843192', '71416', '105429', '304409', '363938', '1921873', '231376', '167840', '694315', '552817', '510695', '501883', '818565', '1843291', '710046', '1456472', '204082', '487482', '673446', '277701', '656674', '1446662', '468804', '571348', '1847098', '450413', '502362', '685588', '236151', '405969', '1534317', '524365', '106501', '1524591', '107299', '801261', '533810', '628656', '1524469', '817590', '1536647', '1834740', '1795491', '732534', '1542446', '110981', '313027', '515753', '714862', '1851308', '318154', '1384134', '203403', '1550491', '2196170', '107034', '195781', '1024455', '535629', '726682', '766871', '1542115', '112038', '1847125', '559885', '500134', '466409', '1893256', '222893', '1904298', '430755', '2202822', '2199659', '1824595'])",set(['105062']),344 U.S. 293,"set(['380 U.S. 545', '352 U.S. 112', '371 U.S. 208', '385 U.S. 99', '416 U.S. 600', '485 U.S. 478', '462 U.S. 791', '409 U.S. 38', '534 U.S. 161'])"
36,McElroy v. United States Ex Rel. Guagliardo,"set(['316705', '263011', '105981', '32601', '253958', '288095', '109077', '261386', '251963', '302649', '299819', '804637', '418015', '159868', '300322', '275939', '111948', '320093', '1752084', '769148', '107856', '314010', '303367', '287264', '108465', '800401', '316321', '275254', '107953', '184342', '107974', '306254', '358556', '109224', '296936', '108595', '108860', '105982'])",set(['105983']),361 U.S. 281,"set(['408 U.S. 1', '361 U.S. 278', '395 U.S. 258', '420 U.S. 738', '483 U.S. 435', '417 U.S. 733', '393 U.S. 1048', '413 U.S. 665', '405 U.S. 34', '361 U.S. 234', '395 U.S. 683'])"
37,Jackson v. United States,"set(['', '819858', '203873', '171591', '794871', '170878', '45981', '169699', '38635', '2357', '47146'])","set(['141774', '141775', '141776', '141777', '141767', '141771', '141772', '141773', '141778', '141769', '141768', '141781', '141780', '141782', '141770', '141779', '141766'])",543 U.S. 1109,set([])
38,Gillian v. United States,"set(['', '797693', '42962', '793872'])","set(['141763', '141762', '141761', '141760', '141765', '141764', '141758', '141759', '141752', '141753', '141750', '141751', '141756', '141757', '141754', '141755'])",543 U.S. 1108,set([])
39,"Leon Davis v. R. P. Balkcom, Jr., Warden",set(['']),set(['106410']),369 U.S. 811,set([])
40,Jimmy L. Glass v. Louisiana,"set(['1084456', '489345', '1111173', '1125438', '516191', '664725', '743521', '1154539', '1149193', '797785', '748625', '1145432', '145817', '497027', '1060569', '1116139'])",set(['111455']),471 U.S. 1080,set(['128 S. Ct. 1520'])
41,Rajesh Thakkar v. Dickinson Debevoise,set(['']),set(['112614']),500 U.S. 962,set([])
42,Investment Company Institute v. Camp,"set(['471266', '659862', '2478849', '471260', '420995', '110415', '1360640', '184523', '311372', '109307', '445249', '299684', '344232', '342415', '490102', '336393', '184486', '195073', '819117', '145747', '370418', '348776', '300252', '186867', '1459320', '109462', '550151', '485227', '557339', '791547', '118174', '816703', '334538', '721289', '1315798', '111221', '490897', '321703', '393167', '469073', '117891', '111240', '112163', '580688', '529720', '307760', '611589', '393971', '762571', '539171', '400912', '578175', '414206', '210471', '109272', '480729', '440319', '386880', '111789', '109975', '370383', '486525', '313354', '681330', '601777', '318587', '157687', '349334', '184655', '310306', '108713', '426340', '109086', '118238', '211217', '817399', '506583', '379105', '186568', '342519', '1440221', '73674', '327197', '424033', '185991', '391925', '327198', '514191', '310937', '524610', '297567', '363921', '528395', '556542', '209421', '185229', '2446874', '208319', '159722', '705086', '334736', '111242', '421077', '109466', '529719', '109953', '354134', '307856', '109422', '374740', '404962', '304058', '330064', '373877', '479784', '453418', '411108', '111492', '185761', '300193', '768024', '186503', '351962', '529709', '2151369', '489483', '350867', '109530', '384567', '112538', '328133', '108478', '324882', '760127', '501705', '110021', '602789', '73675', '1425097', '539831', '2472777', '492347', '1098089', '305234', '469996', '533772', '783118', '488515', '1462913', '392798', '471695', '311492', '656645', '410976', '835169', '358700', '2192256', '571082', '544308', '794631', '818449', '497070', '323997', '490935', '478400', '789608', '1227872', '563195', '1735395'])",set(['108300']),401 U.S. 617,"set(['479 U.S. 388', '422 U.S. 694', '426 U.S. 26', '418 U.S. 166', '421 U.S. 837', '405 U.S. 233', '439 U.S. 128', '488 U.S. 204', '467 U.S. 837', '439 U.S. 551', '513 U.S. 251', '127 S. Ct. 1559', '450 U.S. 46', '425 U.S. 231', '498 U.S. 517', '440 U.S. 125', '524 U.S. 417', '428 U.S. 106', '410 U.S. 113', '468 U.S. 137', '426 U.S. 148', '472 U.S. 846', '522 U.S. 479', '468 U.S. 207'])"
43,Vance v. Bradley,"set(['418143', '1454238', '454585', '718237', '2484629', '110485', '402525', '402524', '1203319', '583980', '1106129', '10964', '510766', '454330', '522882', '762203', '1946978', '773550', '1097786', '547029', '1162782', '1087701', '757586', '175043', '427589', '886683', '401025', '810546', '588069', '658631', '481341', '110517', '1057201', '521903', '111472', '808418', '433855', '111484', '815636', '773426', '185863', '753033', '480568', '110423', '715796', '112133', '528412', '111507', '111504', '555505', '195672', '579953', '770903', '787330', '852162', '580258', '603791', '218016', '437648', '470333', '757096', '687319', '466448', '2260134', '1136584', '178210', '2467825', '779313', '790660', '419187', '395346', '409684', '1854563', '386314', '668219', '514799', '1994115', '443235', '1197054', '502461', '1495882', '556701', '407862', '564924', '948541', '766650', '1380470', '381432', '768152', '535578', '110881', '1024164', '627203', '1197934', '564403', '469464', '613775', '1266069', '578268', '2477884', '409704', '376662', '760829', '110129', '432066', '1145190', '489576', '110066', '110064', '522226', '768089', '860668', '1749741', '1805719', '440386', '705087', '660305', '544227', '112763', '490585', '423695', '510233', '1294450', '110767', '793256', '421172', '2293688', '564802', '118323', '529714', '382834', '526090', '510245', '72758', '72757', '111466', '770387', '545177', '480774', '558951', '466344', '745354', '743536', '708766', '582538', '701259', '1288996', '495014', '430502', '519159', '425956', '2409660', '708858', '453274', '1132261', '679954', '1532365', '112009', '1119116', '1159748', '532126', '587712', '770887', '110333', '110338', '984073', '1272474', '1678629', '184884', '377119', '2494817', '1534974', '1551127', '1241919', '741090', '110098', '502451', '1292247', '110791', '811592', '439226', '413166', '567185', '491746', '588165', '367100', '792585', '386322', '792588', '372929', '825974', '808427', '112900', '588226', '765101', '112896', '767604', '462630', '75034', '75035', '75032', '75033', '586884', '110097', '795125', '582506', '112870', '110075', '110770', '380083', '364215', '1131605', '373911', '523173', '178306', '405182', '783082', '492127', '110380', '412685', '369083', '369080', '540851', '663695', '76031', '76424', '2066513', '2477326', '698398', '1425072', '586356', '389996', '1200491', '776305', '2116076', '402246', '375508', '375509', '118444', '781630', '622361', '388156', '779658', '886585', '516215', '417765', '1225848', '1177454', '462701', '711061', '149162', '387375', '1253320', '435105', '2477587', '469396', '77588', '402147', '461670', '510258', '381028', '378089', '784910', '426427', '768612', '701302', '1129964', '551882', '542885', '716342', '451947', '112632', '415247', '505506', '1530836', '112069', '491454', '2469465', '562355', '110246', '889758', '112114', '150483', '447543', '1573126', '395368', '550085', '451764', '1551683', '754576', '388756', '447999', '377194', '797873', '178579', '1316725', '1176317', '665792', '570501', '405908', '780268', '429670', '370461', '770527', '745382', '409491', '481029', '619867', '512609', '782264', '1172208', '164956', '10037', '510694', '506581', '560456', '149702', '481053', '1061020', '461604', '110042', '1116049', '110363', '2468391', '419681', '1782291', '209590', '628111', '493286', '455828', '557402', '2342738', '110213', '118012', '450401', '160161', '1598446', '390056', '385868', '433434', '815091', '482871', '371426', '770686', '775878', '1439358', '111196', '538436', '409226', '773596', '472635', '1957083', '738230', '70626', '70627', '2368930', '110137', '741724', '2245072', '499059', '2171664', '458665', '110742', '1466257', '582633'])",set(['110020']),440 U.S. 93,"set(['501 U.S. 452', '441 U.S. 347', '440 U.S. 568', '448 U.S. 448', '441 U.S. 380', '517 U.S. 186', '533 U.S. 53', '473 U.S. 432', '472 U.S. 612', '509 U.S. 443', '449 U.S. 456', '528 U.S. 62', '446 U.S. 55', '458 U.S. 1', '442 U.S. 256', '457 U.S. 202', '509 U.S. 312', '443 U.S. 55', '505 U.S. 1', '450 U.S. 221', '457 U.S. 957', '467 U.S. 229', '486 U.S. 71', '485 U.S. 1', '472 U.S. 159', '451 U.S. 648', '472 U.S. 353', '443 U.S. 282', '487 U.S. 1', '473 U.S. 305', '448 U.S. 297', '508 U.S. 307', '526 U.S. 124', '441 U.S. 520', '449 U.S. 166', '452 U.S. 314', '445 U.S. 55', '442 U.S. 228', '460 U.S. 226', '487 U.S. 450', '458 U.S. 654'])"
44,Edwards v. Aguillard,"set(['493641', '800030', '8421', '2653', '782505', '721330', '112331', '774428', '614340', '529292', '1159104', '533787', '508219', '560568', '26072', '118133', '740411', '118136', '47621', '118040', '766257', '708076', '173866', '799993', '515250', '799990', '766002', '723819', '779464', '553282', '766009', '528516', '664656', '1189720', '656152', '785491', '652901', '614472', '667167', '597467', '762562', '22969', '789628', '112779', '112451', '531901', '596392', '891221', '788978', '503093', '672081', '656592', '757753', '71704', '493381', '557343', '88', '558989', '201936', '118446', '766650', '747150', '773555', '223636', '556562', '499806', '945737', '601796', '672917', '672916', '932059', '181719', '5685', '612129', '18249', '154776', '797908', '71707', '792723', '73911', '763114', '774148', '768036', '5675', '782263', '517003', '1208151', '177747', '171218', '661762', '197589', '748610', '506581', '607880', '1037570', '774320', '795232', '111979', '1196385', '183561', '511819', '112881', '781742', '578621', '597854', '33207', '571075', '783419', '723911', '593207', '177757', '177263', '603766', '772449', '613556', '493286', '783311', '815636', '24454', '600767', '73909', '515528', '112138', '786918', '179184', '150033', '613381', '718737', '804943', '771401', '2630', '763233', '793244', '779156', '18280', '779397', '782717', '498402', '762043', '779859', '545156', '172243', '495006', '148165', '765415', '745424', '567999', '784143', '1208107', '5246', '768474', '784658', '792535', '177137', '222596', '155727', '771474', '758042', '16989', '787321', '121168', '724906', '78156', '735384', '628623', '627433', '679611', '76550', '503450', '544620', '785158', '73745', '73746', '73743', '550699', '112635', '789891', '772665', '73748', '528412', '152916', '522965', '787961', '501854', '729769', '797066', '805319', '754583', '546894', '504628', '19131', '621238', '769166', '1198945', '677019', '749842', '614298', '48436', '1208621', '117870', '187239', '602426'])",set(['111924']),482 U.S. 578,"set(['521 U.S. 203', '484 U.S. 260', '512 U.S. 687', '521 U.S. 346', '487 U.S. 589', '501 U.S. 560', '505 U.S. 577', '492 U.S. 573', '496 U.S. 226', '517 U.S. 952', '545 U.S. 844', '533 U.S. 98', '545 U.S. 677', '508 U.S. 520', '536 U.S. 639'])"
45,Ellis v. Union Pacific R. Co.,"set(['241335', '229954', '258630', '290589', '256185', '104742', '435066', '230080', '230180', '525631', '2117459', '478826', '239688', '225929', '240071', '780715', '235053', '267187', '234852', '224452', '261167', '105769', '230387', '118138', '106639', '1435880', '238563', '104738', '227272', '765640', '158784', '234895', '237452', '105463', '111843', '238122', '117866', '233882', '105460', '104392', '576170', '284955', '106368', '1208674', '1173335', '104677', '228747', '242412', '160472', '224710', '237254', '236414', '1054321', '341480', '104622', '1272077', '230985', '697280', '238893', '239185', '247095', '157993', '269277', '231486', '2476757', '749336', '312337', '246008', '257146', '105071', '496638', '234559', '224662', '243537', '807750', '225237', '1329237', '225316', '242088'])",set(['104368']),329 U.S. 649,"set(['512 U.S. 532', '358 U.S. 31', '521 U.S. 424', '338 U.S. 384', '369 U.S. 355', '344 U.S. 407', '352 U.S. 500', '330 U.S. 485', '480 U.S. 557', '337 U.S. 163', '352 U.S. 521', '336 U.S. 53', '338 U.S. 430', '374 U.S. 1'])"
46,"Amalgamated Ass'n of Street, Electric Railway & Motor Coach Employees of America, Division 998 v. Wisconsin Employment Relations Board. United Gas, Coke & Chemical Workers of America, CIO v. Wisconsin Employment Relations Board","set(['264730', '243449', '', '383800', '779061', '108532', '104852', '104850', '104851', '106403', '105866', '604802', '231596', '105235', '677083', '111621', '238902', '1635342', '240006', '254912', '261054', '111251', '105990', '264385', '108586', '419928', '104919', '106605', '105818', '230038', '105698', '105018', '106643', '105284', '2225903', '105008', '242235', '875771', '105479', '112341', '107886'])","set(['1087991', '104850'])",340 U.S. 383,"set(['475 U.S. 608', '341 U.S. 665', '356 U.S. 634', '361 U.S. 363', '359 U.S. 236', '406 U.S. 272', '343 U.S. 395', '347 U.S. 656', '353 U.S. 1', '340 U.S. 416', '340 U.S. 411', '468 U.S. 491', '369 U.S. 689', '374 U.S. 74', '493 U.S. 103', '407 U.S. 385', '394 U.S. 369', '340 U.S. 383', '343 U.S. 579', '373 U.S. 221', '348 U.S. 468', '358 U.S. 283'])"
47,"Southern Motor Carriers Rate Conference, Inc. v. United States","set(['112749', '148091', '482559', '553853', '179847', '465404', '728958', '453443', '476310', '555035', '713034', '552427', '454344', '623239', '160953', '512627', '112070', '873515', '777340', '780163', '569297', '839713', '71270', '508837', '463363', '504697', '117835', '1196898', '484993', '555903', '700501', '669073', '111398', '795085', '518734', '600352', '540350', '476344', '765607', '451551', '528429', '501763', '681640', '757732', '526549', '774705', '562312', '70799', '458678', '198729', '5546', '507874', '537220', '112569', '820745', '797161', '456228', '15653', '194552', '784980', '780930', '547316', '111677', '606745', '162562', '765291', '484893', '72684', '72685', '752879', '793765', '597211', '739943', '519506', '511806', '198573', '184867', '602387', '772582', '558975', '458917', '771936', '767492', '154742', '471325', '531356', '545154', '508794', '487737', '496777'])",set(['111399']),471 U.S. 48,"set(['486 U.S. 94', '471 U.S. 34', '504 U.S. 621', '476 U.S. 447', '499 U.S. 365', '511 U.S. 117'])"
48,Marine Cooks v. Arnold,"set(['244475', '2313743', '105661', '1154844', '286946', '105333', '306275', '451521', '108028', '109213', '277656', '562120', '111856', '462427', '108466', '407897'])",set(['105245']),348 U.S. 37,"set(['481 U.S. 1', '350 U.S. 91', '420 U.S. 534', '405 U.S. 56', '396 U.S. 365', '356 U.S. 148'])"
49,Lewis v. New Orleans,"set(['330358', '878835', '109214', '213143', '393815', '1145162', '1194736', '345686', '772012', '1115083', '110398', '387281', '13842', '109505', '324463', '511816', '539934', '744627', '1159879', '379212', '987561', '1780889', '1065464', '1222574', '318452', '1230227', '109570', '370945', '109172', '63564', '112774', '1619942', '782284', '406727', '900939', '1611761', '396564', '328640', '518134', '1194355', '1088129', '1210101', '327198', '1203200', '748605', '1252255', '751753', '1204598', '693899', '1655478', '336216', '1389646', '381847', '562311', '325721', '824286', '110918', '596126', '357906', '329517', '109939', '1128847', '2470767', '792262', '664753', '335995', '863432', '111919', '111342', '1115665', '752175', '867251', '1193818', '215764', '447045', '2469081', '1458246', '338450', '111923', '901673', '109034', '136990', '72115', '1457999', '1142534', '617163', '876722', '330199', '449572', '2470873', '426305', '1115477', '1441554', '725420', '1310233', '1063095', '110926', '109035'])",set(['108965']),415 U.S. 130,"set(['542 U.S. 177', '427 U.S. 50', '438 U.S. 726', '416 U.S. 924', '449 U.S. 1023', '429 U.S. 190', '420 U.S. 546', '482 U.S. 451', '416 U.S. 919', '461 U.S. 171', '505 U.S. 377', '469 U.S. 1146', '461 U.S. 352', '419 U.S. 1081', '482 U.S. 569'])"
50,United States v. Johnson,"set(['418145', '852551', '122265', '420999', '406619', '530757', '590903', '515494', '895584', '536980', '879524', '552357', '1165330', '453229', '222101', '591193', '541733', '453326', '470998', '431679', '453010', '111235', '547042', '110959', '1162522', '519565', '884941', '511866', '442900', '504955', '568506', '1173434', '447011', '805234', '1111314', '507156', '889935', '1058349', '482020', '508732', '770836', '460074', '1201772', '147435', '573990', '1008233', '1008232', '487222', '1115069', '1168288', '112184', '112450', '446981', '111841', '856231', '490522', '534563', '478602', '407923', '441786', '477998', '460199', '1156738', '654260', '33971', '667204', '1173068', '1150936', '537257', '557342', '1173266', '1209395', '153143', '1063694', '1131772', '492334', '584150', '885743', '755779', '441989', '885744', '497348', '418090', '740279', '469827', '463762', '457572', '469154', '819745', '534551', '626644', '6539', '1153828', '1175258', '1058354', '508453', '441797', '433102', '218926', '1040986', '515504', '498395', '470309', '1205245', '112933', '77032', '506186', '500362', '431805', '1151214', '1122734', '672047', '501676', '1141107', '441993', '547460', '521018', '465176', '806714', '1156228', '1173345', '430928', '1129403', '111976', '1058329', '522939', '411687', '488790', '181238', '117987', '465254', '886212', '169777', '528426', '413330', '413331', '112387', '476353', '791182', '726152', '509020', '75125', '409434', '471798', '783386', '430722', '678513', '418167', '117933', '112206', '1093884', '1142691', '1058124', '1155728', '1176187', '541777', '524087', '688371', '411199', '479389', '1173094', '815210', '460324', '1147359', '76810', '409500', '454276', '411894', '111183', '460960', '810564', '166736', '440444', '1154516', '435946', '781330', '415225', '411349', '112634', '1104638', '1111754', '796724', '540361', '1129341', '773583', '775832', '1129424', '427198', '496593', '757635', '239', '78584', '1096182', '75622', '446437', '111615', '593663', '111262', '457583', '516191', '889266', '475234', '563206', '1095388', '452094', '507340', '541130', '661798', '186597', '204448', '1008014', '527548', '1086355', '1171999', '527018', '111355', '111662', '1129358', '428360', '1170888', '1062849', '1154081', '198688', '112890', '529758', '1067518', '701777', '431036', '516461', '1169150', '554966', '430912', '1111372', '598500', '566438', '610853', '423550', '424687', '98', '440341', '111785', '220999', '691388', '784039', '111112', '599362', '460980', '482869', '723457', '472996', '1142836', '502690'])",set(['110754']),457 U.S. 537,"set(['496 U.S. 167', '489 U.S. 288', '468 U.S. 897', '510 U.S. 510', '480 U.S. 527', '468 U.S. 1', '501 U.S. 529', '475 U.S. 469', '479 U.S. 314', '465 U.S. 638', '514 U.S. 749', '470 U.S. 51', '462 U.S. 213', '509 U.S. 86', '537 U.S. 522', '476 U.S. 79', '494 U.S. 407', '484 U.S. 211', '488 U.S. 902', '516 U.S. 163', '466 U.S. 1301'])"
51,Arizona v. Fulminante,"set(['1033233', '587751', '30541', '1179991', '798199', '164792', '586810', '759118', '774626', '577057', '1199818', '795825', '1121458', '681599', '731303', '155223', '874884', '874887', '197851', '201728', '5826', '791972', '1025840', '605557', '801948', '775682', '781979', '655466', '112603', '569109', '50906', '136986', '776741', '604123', '580919', '687613', '749395', '581585', '565270', '802005', '1033583', '835782', '47608', '799612', '1102693', '156211', '853805', '679247', '1205344', '673462', '147511', '218503', '1128797', '759165', '779898', '177645', '1166791', '704346', '948391', '1127545', '1063072', '991410', '679075', '744765', '182064', '780679', '765394', '73140', '759475', '771732', '1044653', '170677', '791652', '753600', '765585', '1049863', '766424', '750124', '697743', '903058', '731306', '766929', '160258', '794746', '754206', '773551', '159981', '605670', '74966', '785263', '590805', '1045159', '759486', '660666', '1204962', '1043889', '592289', '775540', '1064137', '1172628', '1156982', '218753', '775224', '792125', '1109250', '791887', '628647', '1079043', '994678', '812911', '771544', '734677', '683168', '617645', '150603', '666598', '683514', '1039847', '730837', '1117954', '780216', '149021', '678850', '678851', '594737', '1038779', '773888', '583155', '814985', '1035861', '1119390', '1119395', '1105731', '4950', '738069', '690318', '145896', '567910', '797646', '73139', '656633', '1060538', '1197799', '888170', '202140', '705996', '782255', '848660', '38087', '5133', '767742', '794295', '783386', '75113', '793548', '174971', '769976', '75115', '591451', '564960', '216097', '716684', '751347', '681015', '1057809', '866811', '613181', '1105547', '745283', '769468', '159769', '800388', '663750', '779707', '678565', '779702', '202706', '845993', '890770', '175794', '714072', '1060741', '774841', '790592', '880847', '1032412', '901742', '1102360', '771010', '755130', '69924', '741773', '710097', '722552', '660094', '903094', '67199', '603792', '752178', '1064140', '692310', '758365', '1035286', '161492', '185074', '201470', '743119', '1149032', '1033415', '678299', '74576', '74577', '1204473', '566323', '757864', '712284', '732323', '715649', '715648', '788559', '1038414', '759233', '782928', '15666', '848572', '661717', '766204', '1063083', '201462', '701822', '42516', '22756', '859123', '216020', '201505', '821529', '1058319', '788866', '767558', '118460', '770691', '583886', '776195', '721024', '608136', '118112', '1119056', '202665', '757052', '75349', '809631', '901459', '610857', '702503', '204163', '1086513', '844193', '789276', '773609', '752787', '755821', '166895', '788073', '742627', '215643', '1058958', '771264', '607180', '180429', '666907', '591505', '724025', '660220', '578662', '770023', '1081514', '594695', '678531', '218232', '867538', '75154', '75153', '796253', '793588', '848622', '848623', '792503', '900565', '760945', '862042', '767909', '618469', '211345', '604940', '723757', '73723', '585646', '743522', '1056867', '790362', '627618', '866032', '1048926', '809166', '870125', '800506', '698168', '902264', '1033228', '167271', '594188', '798066', '1060668', '1060669', '748422', '789992', '766112', '197064', '1106201', '1206021', '791948', '795854', '216270', '865362', '1201575', '559025', '772023', '676597', '601785', '1124243', '718204', '888122', '5692', '577190', '1147348', '1127349', '1079588', '194866', '118298', '1203095', '171949', '800373', '808161', '769331', '1061548', '583362', '793121', '853351', '577630', '567280', '591185', '805051', '1046458', '9018', '589983', '682459', '711715', '880790', '583447', '612114', '575250', '993538', '29335', '740279', '127897', '611954', '846467', '575829', '23580', '756751', '154662', '757744', '1171410', '1017143', '198352', '682808', '754952', '671546', '16329', '814512', '604444', '669440', '819971', '214334', '768333', '787685', '778964', '183273', '770724', '1126574', '71881', '1208887', '672048', '71886', '579041', '853215', '667589', '1154550', '742614', '157368', '1105883', '751731', '844149', '182826', '772935', '854071', '770196', '663904', '1058342', '684419', '737151', '988764', '664725', '669815', '1036304', '1043749', '711194', '661479', '588155', '156150', '782542', '588158', '791225', '791659', '742481', '664095', '599028', '170954', '844147', '787619', '768906', '700875', '778912', '702790', '206602', '77077', '75071', '184561', '1197895', '670812', '867448', '156000', '566381', '602006', '167116', '680706', '1084411', '792383', '865885', '746028', '74967', '1182224', '203417', '794953', '1121390', '582816', '1040081', '564973', '801655', '855549', '867549', '785129', '1166828', '854102', '809384', '1154894', '1119639', '707574', '605691', '1112446', '766590', '697355', '564876', '1048696', '197234', '566796', '666895', '716790', '672865', '900324', '774781', '865769', '1154944', '773984', '727265', '1199621', '161004', '196648', '145633', '15872', '569265', '173739', '591773', '677448', '195743', '591779', '773852', '118194', '1166745', '1135841', '901671', '688117', '71884', '775079', '714795', '1199062', '797776', '567631', '564983', '658098', '155564', '991063', '1073333', '586848', '759576', '709048', '766738', '733353', '1193770', '146982', '769674', '1113445', '760205', '800328', '800326', '563211', '182991', '866432', '892124', '583672', '43298', '118106', '31577', '793987', '581438', '1070980', '151084', '200476', '154130', '583416', '987372', '591194', '671348', '596517', '863670', '1198942', '161879', '63167', '1191710', '1051093', '584171', '720713', '200773', '798450', '778958', '766421', '712077', '669740', '204612', '1052315', '586405', '991969', '653644', '673496', '1191829', '990796', '560536', '1040118', '561804', '561805', '1044606', '751705', '788102', '585807', '159264', '148957', '145631', '1057718', '789595', '76215', '774002', '609734', '805997', '1015988', '862412', '14245', '773798', '845992', '760543', '68128', '744490', '824491', '713039', '76181', '766166', '666573', '153448', '836202', '562093', '786681', '1152888', '844226', '1096086', '33188', '577967', '788616', '596604', '751832', '724941', '782295', '117958', '203458', '1034897', '203446', '739740', '564166', '5395', '739743', '586978', '1105770', '718217', '75096', '787369', '987106', '1102902', '801765', '77374', '779801', '765686', '748412', '864418', '677129', '568521', '728727', '761572', '712915', '118492', '807232', '564941', '194878', '795087', '1109155', '820254', '598978', '201389', '199590', '772135', '886204', '206350', '800366', '159694', '15630', '784053', '571335', '900068', '606025', '577629', '1199674', '800403', '61996', '786824', '572319', '78426', '795569', '131144', '759142', '720194', '682503', '1025139', '746043', '714869', '71558', '712987', '219047', '563886', '1205453', '176545', '1083510', '999997', '563881', '807649', '771870', '1067263', '774387', '1153075', '888972', '201528', '740984', '807645', '161834', '605610', '656923', '1095167', '1039171', '766293', '789797', '22786', '686748', '901977', '737412', '787145', '172758', '816533', '746761', '1058990', '662516', '771148', '165241', '900791', '1172603', '725573', '785932', '1122475', '2428', '934751', '1044077', '73724', '835608', '821509', '683148', '780948', '682764', '1089982', '609824', '792984', '607131', '169049', '854694', '1171441', '561245', '874787', '1110043', '693414', '1056366', '223645', '198769', '653699', '993277', '788658', '216545', '686495', '1034160', '765300', '8585', '197680', '203579', '173688', '658313', '704862', '760512', '174945', '168381', '1160194', '1135206', '774769', '865183', '694604', '774444', '76918', '767487', '184190', '1172155', '729363', '707564', '588137', '901801', '715177', '562042', '20647', '1049345', '858528', '714872', '663718', '747801', '790183', '1096110', '772486', '768468', '708471', '112689', '564785', '789877', '567966', '739300', '1201845', '891590', '900626', '783524', '783527', '1199808', '615943', '1197916', '575205', '580881', '769962', '808323', '165702', '707310', '709027', '728946', '71252', '1050963', '772164', '779053', '870681', '865057', '155605', '779818', '1135911', '1090914', '748424', '8256', '216307', '743074', '766256', '607689', '779576', '988320', '789459', '1037058', '112848', '112847', '773146', '112845', '32772', '800357', '800355', '197718', '213005', '997912', '573058', '699586', '699299', '779373', '180733', '769407', '1083540', '117864', '583460', '71459', '726746', '741078', '2641084', '1130257', '779694', '714081', '1114319', '767577', '776419', '1033055', '788989', '1205137', '613588', '678912', '1046841', '1163481', '194661', '166721', '1202779', '813877', '887789', '59484', '726152', '789427', '213842', '789425', '671774', '570026', '195186', '806021', '199068', '757575', '610307', '605249', '779188', '608854', '775767', '774157', '806657', '611614', '782602', '32189', '1084683', '572123', '677132', '203757', '4890', '1010217', '4895', '783403', '855331', '789420', '903303', '782567', '173246', '616807', '722160', '767041', '865528', '760958', '198819', '1096090', '752168', '599210', '758519', '1058846', '728091', '790305', '118065', '618840', '221254', '1160811', '673539', '74738', '854276', '152284', '734585', '667455', '112645', '74737', '790128', '159242', '176579', '560519', '585034', '751346', '800270', '64218', '1086324', '702133', '794449', '773948', '677112', '75045', '75044', '170372', '15303', '764737', '789126', '776501', '664047', '145926', '112807', '587744', '146890', '1085318', '715789', '196376', '1199641', '779902', '800418', '166515', '1060829', '705211', '1196360', '1033277', '786582', '1106071', '673447', '223528', '677798', '579460', '815982', '30546', '1062129', '1063431', '735328', '792256', '899826', '865161', '1056778', '866431', '775395', '566701', '776806', '180394', '800488', '776805', '779456', '797719', '655125', '221441', '112732', '75097', '1042993', '731284', '21130', '75348', '778010', '566853', '785951', '34853', '746858', '887295', '748836', '665799', '773292', '748208', '112868', '1037397', '867485', '781333', '997924', '1037393', '767925', '567211', '34852', '213043', '41926', '698720', '754040', '571296', '757309', '13807', '1161649', '152623', '781722', '780951', '1192494', '793481', '180028', '790372', '1122547', '784555', '1199736', '609814', '810477', '195258', '614681', '1032702', '816611', '162450', '627906', '770174', '619941', '854066', '566915', '747156', '602148', '586421', '885541', '602808', '756466', '609757', '623855', '746922', '1044285', '112596', '765438', '594687', '781794', '618084', '900915', '1202441', '35646', '741729', '786028', '722384', '731561', '173975', '865466', '777488', '583899', '731242', '760155', '943239', '794562', '6789', '684111', '1046303', '885718', '773378', '1163421', '180076', '667228'])",set(['112566']),499 U.S. 279,"set(['507 U.S. 680', '500 U.S. 391', '507 U.S. 725', '508 U.S. 275', '535 U.S. 162', '533 U.S. 656', '502 U.S. 1017', '523 U.S. 371', '527 U.S. 1', '542 U.S. 74', '520 U.S. 641', '515 U.S. 506', '512 U.S. 477', '506 U.S. 364', '507 U.S. 619', '519 U.S. 2', '520 U.S. 461', '501 U.S. 923', '500 U.S. 257', '504 U.S. 127', '540 U.S. 12', '538 U.S. 11'])"
